Country,State,Industry,Job Title,Education Level,Age_range,Years of Experience,Gender,Lead Source,is_sale
Unknown Country,ITALY,Education,post-doc researcher and fixed-term assistant professor,Doctorate,40-55,10-15 years,,,TRUE
Unknown Country,IL,Computer / Electronics,Solution Architect,Bachelor's Degree,,More than 25 years,,,TRUE
Unknown Country,VA,Government  / Military / Defense,Model Based Systems Engineer,Master's Degree,40-55,9-Jun,,,TRUE
Unknown Country,SZ,Consulting,Founder / Co-Founder / Partner,MBA,40-55,16 - 24,,,TRUE
Unknown Country,FL,Government  / Military / Defense,Adjudicator,Doctorate,40-55,5-9 years,,,TRUE
Unknown Country,Unknown,Energy,CEO / General Manager / Country Manager,,40-55,0 - 2,,,TRUE
Brazil,RIO DE JANEIRO,Banking / Financial Services,Financial Analyst,Bachelor's Degree,25-40,5-9 a�os,,,TRUE
Unknown Country,MINAS GERAIS,Other,Analist,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Unknown Country,TX,Technology,Other,Master's Degree,40-55,15-Oct,,,TRUE
Unknown Country,MI,IT / Data,Functional Specialist,Doctorate,55+,5-Mar,,,TRUE
Unknown Country,IL,Government / Military / Defense,Other,Master's Degree,25-40,5-Mar,,,TRUE
United States,WA,Banking / Financial Services,Other (Please specify),Master's Degree,25-40,9-Jun,,,TRUE
Unknown Country,GERMANY,Energy,Other,Master's Degree,25-40,5-Mar,,,TRUE
Unknown Country,GERMANY,Energy,Functional Specialist,Master's Degree,25-40,5-Mar,,,TRUE
United States,MA,Media / Entertainment,Chief Operating Officer,Bachelor's Degree,,Less than 5 years,,,TRUE
Unknown Country,NJ,Banking / Financial Services,,Master's Degree,,,,,TRUE
United States,MD,Consulting,Data Analyst,Master's Degree,,,,,TRUE
Unknown Country,TX,Education,professor,Doctorate,55+,,,,TRUE
Unknown Country,IL,Banking / Financial Services,Functional Specialist,Doctorate,40-55,15-Oct,,,TRUE
Unknown Country,Unknown,Banking / Financial Services,Other,,25-40,5-Mar,,,TRUE
Unknown Country,ILLINOIS,Banking / Financial Services,Functional Specialist,Master's Degree,25-40,5-Mar,,,TRUE
United States,IL,Healthcare,Functional Specialist,Bachelor's Degree,25-40,5-Mar,,,TRUE
Unknown Country,Unknown,,,,,,,,TRUE
Unknown Country,IL,Automotive,Hardware Engineer,Master's Degree,,,,,TRUE
Portugal,LISBON,Banking / Financial Services,Chairman,Doctorate,,16-25 a�os,,,TRUE
Unknown Country,MD,Telecommunications,Hardware Engineer,Bachelor's Degree,,,,,TRUE
Unknown Country,NRW,Technology,Functional Specialist,Master's Degree,25-40,5-Mar,,,TRUE
Unknown Country,Unknown,,,,,,,,TRUE
United States,DC,Government  / Military / Defense,Contact Investigator,Bachelor's Degree,,Menos de 5 a�os,,,TRUE
Unknown Country,Unknown,,,,25-40,,,,TRUE
United States,IL,Computer / Electronics,System Validation Engineer,Other,25-40,Less than 5 years,,,TRUE
Unknown Country,CA,Consumer Goods & Services,Director / C-Suite,Bachelor's Degree,55+,15-Oct,,,TRUE
Canada,ON,Real Estate,Director of Strategy,MBA,25-40,5-9 years,,,TRUE
Unknown Country,IL,Education,Associate Registrar,Bachelor's Degree,40-55,,,,TRUE
Unknown Country,CA,Technology,,Master's Degree,,,,,TRUE
Mexico,MEXICO CITY,Banking / Financial Services,Economic Researcher,Doctorate,,Menos de 5 a�os,,,TRUE
Unknown Country,IL,Chemicals,Sr. Scientist,Master's Degree,,,,,TRUE
Unknown Country,MA,Technology,Consultant,Master's Degree,,15-Oct,,,TRUE
Unknown Country,OXFORDSHIRE,Education,Postdoctoral Fellow,Doctorate,40-55,Less than 5 years,,,TRUE
Unknown Country,IL,Law,Functional Manager,Master's Degree,25-40,9-Jun,,,TRUE
United States,IL,Healthcare,Other,Bachelor's Degree,,0 - 2,,,TRUE
United States,CA,Automotive,Functional Specialist,Bachelor's Degree,25-40,0 - 2,,,TRUE
United States,TX,Engineering,Verification Engineer,Bachelor's Degree,,,,,TRUE
United States,NY,Biotechnology / Pharmaceuticals,Finance and Data Analyst,Bachelor's Degree,,,,,TRUE
United States,TX,Technology,Consultant,Master's Degree,25-40,15-Oct,,,TRUE
Unknown Country,TX,Banking / Financial Services,Citi,Doctorate,40-55,10-15 years,,,TRUE
Unknown Country,WA,Engineering,Other,Bachelor's Degree,40-55,15-Oct,,,TRUE
United States,IN,Manufacturing,Ceo,Bachelor's Degree,,10-15 a�os,,,TRUE
Unknown Country,VA,Education,Other,Bachelor's Degree,25-40,0 - 2,,,TRUE
Unknown Country,NY,Banking / Financial Services,Functional Specialist,Master's Degree,25-40,9-Jun,,,TRUE
Unknown Country,CA,Marketing / Advertising,Consultant,Bachelor's Degree,25-40,15-Oct,,,TRUE
Unknown Country,Unknown,,,,0-20,0 - 2,,,TRUE
Unknown Country,CA,Banking / Financial Services,quant research,Doctorate,40-55,10-15 years,,,TRUE
United States,NY,Energy,VP Portfolio Manager,Master's Degree,,10-15 a�os,,,TRUE
Unknown Country,CA,Telecommunications,Other,Bachelor's Degree,40-55,16 - 24,,,TRUE
United States,IL,Not for Profit,Human Resources Assistant,Bachelor's Degree,,Menos de 5 a�os,,,TRUE
United States,OH,Engineering,Architect,Bachelor's Degree,,,,,TRUE
Unknown Country,CA,IT / Data,Functional Specialist,Bachelor's Degree,40-55,16 - 24,,,TRUE
Unknown Country,IL,Computer / Electronics,,Bachelor's Degree,,,,,TRUE
Unknown Country,MD,Government / Military / Defense,Broadband GIS Specialist,Master's Degree,,15-Oct,,,TRUE
Unknown Country,IL,Automotive,Other,Bachelor's Degree,25-40,15-Oct,,,TRUE
United States,FL,Other,IT Business Partner,Bachelor's Degree,,,,,TRUE
Unknown Country,Unknown,,,,,,,,TRUE
Unknown Country,NJ,Banking / Financial Services,Consultant,MBA,55+,9-Jun,,,TRUE
Sweden,SWEDEN,Engineering,Development Engineer,Master's Degree,,5-9 a�os,,,TRUE
Unknown Country,CDMX,Ecommerce,Functional Manager,MBA,40-55,16 - 24,,,TRUE
Unknown Country,NY,Media / Entertainment,Journalist,Bachelor's Degree,,,,,TRUE
Unknown Country,CA,Agriculture,data analyst,Master's Degree,40-55,Less than 5 years,,,TRUE
Unknown Country,IL,Chemicals,,Doctorate,,,,,TRUE
Unknown Country,MA,Banking / Financial Services,Surveillance Analyst,Bachelor's Degree,,,,,TRUE
Unknown Country,NOORD BRABANT,Education,Assistant professor,Doctorate,40-55,Less than 5 years,,,TRUE
United States,IL,Technology,Consultant,Bachelor's Degree,25-40,5-Mar,,,TRUE
United States,IL,Education,Functional Manager,Master's Degree,40-55,9-Jun,,,TRUE
Unknown Country,Unknown,,,,,,,,TRUE
Unknown Country,Unknown,Computer / Electronics,Professor / Lecturer / Academic Career,Master's Degree,55+,5-Mar,,,TRUE
Unknown Country,ALAJUELA,Technology,Analyst,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
United States,NY,Retail,Lead Business Analyst,Bachelor's Degree,,,,,TRUE
United States,IL,Marketing / Advertising,Other,Bachelor's Degree,25-40,0 - 2,,,TRUE
Unknown Country,FL,Technology,Functional Manager,MBA,40-55,15-Oct,,,TRUE
Unknown Country,TX,Banking / Financial Services,Vp,Bachelor's Degree,40-55,5-9 years,,,TRUE
Unknown Country,AZ,Engineering,Student,Bachelor's Degree,,,,,TRUE
Unknown Country,CA,Biotechnology / Pharmaceuticals,,Doctorate,,,,,TRUE
United States,FL,Engineering,Software Quality Engineer,Bachelor's Degree,,9-Jun,,,TRUE
United States,CA,Technology,Data Associate,Bachelor's Degree,,0 - 2,,,TRUE
United States,IL,Government  / Military / Defense,Consul General,Bachelor's Degree,40-55,10-15 years,,,TRUE
United States,NJ,Healthcare,Clinical Research Professional,Bachelor's Degree,,,,,TRUE
Unknown Country,CA,Scientific / Technical Services,Researcher,Doctorate,,,,,TRUE
Unknown Country,HERTFORDSHIRE,Government  / Military / Defense,Private,Other,40-55,10-15 years,,,TRUE
United States,VA,Manufacturing,Data Scientist,Master's Degree,0-20,10-15 years,,,TRUE
United States,PA,Banking / Financial Services,Other,Bachelor's Degree,25-40,0 - 2,,,TRUE
Unknown Country,Unknown,,,,,,,,TRUE
United States,TX,Oil / Gas,Functional Specialist,Master's Degree,40-55,16 - 24,,,TRUE
Unknown Country,IL,Banking / Financial Services,Risk Analysis Specialist,Master's Degree,25-40,5-9 years,,,TRUE
Unknown Country,Unknown,Engineering,Ingeniero de Proyectos,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Unknown Country,ANTOGAFASTA,Transportation and Logistics,Ingeniero de proyecto,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Unknown Country,IL,Healthcare,Data Analyst,Bachelor's Degree,40-55,Less than 5 years,,,TRUE
United States,TX,Technology,Senior Solutions Engineer,Bachelor's Degree,,5-9 a�os,,,TRUE
Unknown Country,IL,Banking / Financial Services,Other,Bachelor's Degree,25-40,0 - 2,,,TRUE
Unknown Country,Unknown,Otros,,,,15-Oct,,,TRUE
Unknown Country,Unknown,,Functional Specialist,,55+,5-Mar,,,TRUE
Unknown Country,NY,Technology,,Master's Degree,25-40,I do not have professional experience,,,TRUE
United States,TX,Transportation and Logistics,Data Management Analyst,MBA,40-55,5-9 years,,,TRUE
United States,NY,Banking / Financial Services,Principal,MBA,,10-15 a�os,,,TRUE
Unknown Country,MA,Scientific / Technical Services,Senior Scientist,Master's Degree,0-20,5-9 years,,,TRUE
Unknown Country,MD,Government / Military / Defense,Professor / Lecturer / Academic Career,Other,55+,25,,,TRUE
Unknown Country,Unknown,,,,,0 - 2,,,TRUE
Unknown Country,MI,Technology,Head of Investments,MBA,40-55,16-25 years,,,TRUE
Canada,ON,Banking / Financial Services,Analyst,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Unknown Country,SK�NE,Other,Development Engineer,Doctorate,40-55,Less than 5 years,,,TRUE
United States,PA,Engineering,Functional Specialist,Bachelor's Degree,55+,25,,,TRUE
Unknown Country,IL,Banking / Financial Services,trader,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Canada,SK,Education,Assistant Tenure-Track Professor,Doctorate,55+,More than 25 years,,,TRUE
Unknown Country,IL,Banking / Financial Services,Director / C-Suite,Bachelor's Degree,55+,25,,,TRUE
Unknown Country,IL,Insurance,Quantitative Analyst,Master's Degree,25-40,5-9 years,,,TRUE
Brazil,BAHIA,Chemicals,Project Coordinator,MBA,,10-15 a�os,,,TRUE
Unknown Country,SELECT,Arts,,Doctorate,,,,,TRUE
Unknown Country,PA,Education,Functional Manager,Bachelor's Degree,25-40,0 - 2,,,TRUE
Unknown Country,IL,Biotechnology / Pharmaceuticals,Other,Bachelor's Degree,25-40,5-Mar,,,TRUE
United States,IN,Healthcare,Administrator,Master's Degree,,5-9 a�os,,,TRUE
Unknown Country,CA,Healthcare,Consultant,Professional Degree,55+,16 - 24,,,TRUE
United States,IL,Energy,Scheduler,Bachelor's Degree,,Menos de 5 a�os,,,TRUE
Unknown Country,TX,Education,Data Reporting Analyst,Bachelor's Degree,55+,,,,TRUE
Unknown Country,WA,Aerospace,Senior Technical Designer,Bachelor's Degree,,,,,TRUE
United States,IL,Technology,Functional Specialist,Bachelor's Degree,25-40,15-Oct,,,TRUE
Unknown Country,Unknown,,,,,,,,TRUE
United States,WA,Telecommunications,Senior System Engineer,Bachelor's Degree,,16-25 a�os,,,TRUE
Unknown Country,NY,Banking / Financial Services,Director of Debt Financing,Bachelor's Degree,25-40,5-Mar,,,TRUE
Unknown Country,IL,Insurance,Director of Catastrophe Analytics,Bachelor's Degree,,,,,TRUE
Unknown Country,VA,Banking / Financial Services,Other,Master's Degree,40-55,15-Oct,,,TRUE
United States,MA,Banking / Financial Services,Other,Bachelor's Degree,25-40,5-Mar,,,TRUE
Unknown Country,IL,Not for Profit,Analyst for Long Term Recovery Programming,Master's Degree,40-55,9-Jun,,,TRUE
Unknown Country,WA,Ecommerce,,MBA,,,,,TRUE
United States,IL,Healthcare,Manager,Doctorate,,16-25 a�os,,,TRUE
Unknown Country,MA,Aerospace,Other,Bachelor's Degree,40-55,15-Oct,,,TRUE
United States,CT,Banking / Financial Services,Business Consultant,Bachelor's Degree,,Menos de 5 a�os,,,TRUE
Unknown Country,NY,Healthcare,Financial Analyst,Bachelor's Degree,0-20,10-15 years,,,TRUE
Unknown Country,FL,Other,Sports,Bachelor's Degree,,,,,TRUE
Unknown Country,ILLINOIS,IT / Data,Other,Bachelor's Degree,,0 - 2,,,TRUE
United States,FL,Consulting,"C.E.O,",Doctorate,,,,,TRUE
Unknown Country,IL,IT / Data,Other,Professional Degree,25-40,5-Mar,,,TRUE
Unknown Country,TX,Healthcare,Physical Therapist,Bachelor's Degree,40-55,Less than 5 years,,,TRUE
Unknown Country,MA,Ecommerce,Functional Manager,MBA,0-20,5-Mar,,,TRUE
Unknown Country,WA,Computer / Electronics,Product and program mgt,Master's Degree,55+,25,,,TRUE
Unknown Country,MN,IT / Data,Full-time Student,Bachelor's Degree,25-40,I do not have professional experience,,,TRUE
Unknown Country,IL,Technology,Director / C-Suite,MBA,40-55,16 - 24,,,TRUE
Unknown Country,CA,Telecommunications,Functional Specialist,Bachelor's Degree,25-40,9-Jun,,,TRUE
Unknown Country,IL,Technology,Functional Manager,Bachelor's Degree,40-55,16 - 24,,,TRUE
Unknown Country,IL,Consulting,Sr. Integrations Consultant,Master's Degree,55+,More than 25 years,,,TRUE
Unknown Country,IL,,,,,25,,,TRUE
Unknown Country,IL,Consulting,Data Analytics Manager,Master's Degree,40-55,9-Jun,,,TRUE
Unknown Country,NY,Banking / Financial Services,Strategy Analyst,Bachelor's Degree,,,,,TRUE
Unknown Country,Unknown,,,,,,,,TRUE
Unknown Country,CATALU�A,Agriculture,"Co-founder, CEO",Master's Degree,,,,,TRUE
United States,IL,Law,Other,Master's Degree,40-55,15-Oct,,,TRUE
United States,TN,Healthcare,BI Analyst,Master's Degree,,5-9 a�os,,,TRUE
Brazil,SANTA CATARINA,IT / Data,Chief Executive Officer,Bachelor's Degree,,5-9 a�os,,,TRUE
Unknown Country,Unknown,,,,,15-Oct,,,TRUE
Unknown Country,MN,Banking / Financial Services,Functional Specialist,Bachelor's Degree,40-55,9-Jun,,,TRUE
Unknown Country,MA,Banking / Financial Services,Data Analyst,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Germany,NI,Banking / Financial Services,Sen. Data Scientist,Doctorate,,Menos de 5 a�os,,,TRUE
Unknown Country,PA,Scientific / Technical Services,Functional Specialist,Master's Degree,40-55,15-Oct,,,TRUE
United States,IL,Other,No,Master's Degree,25-40,I do not have professional experience,,,TRUE
Unknown Country,IL,Insurance,Consultant,Bachelor's Degree,25-40,0 - 2,,,TRUE
Unknown Country,BAVARIA,Other,Student,Bachelor's Degree,25-40,I do not have professional experience,,,TRUE
Unknown Country,TX,Consulting,Director / C-Suite,MBA,55+,25,,,TRUE
Unknown Country,IL,Government  / Military / Defense,Financial Analyst (Internship),Master's Degree,25-40,I do not have professional experience,,,TRUE
United States,NJ,Media / Entertainment,Functional Manager,Master's Degree,40-55,9-Jun,,,TRUE
Tonga,CA,Banking / Financial Services,VP - Finance & Investor Relations,Bachelor's Degree,,5-9 a�os,,,TRUE
Unknown Country,Unknown,Government / Military / Defense,Other,,25-40,0 - 2,,,TRUE
Unknown Country,NJ,Education,Assistant Professor,Doctorate,,,,,TRUE
Unknown Country,MN,Consulting,,Doctorate,,,,,TRUE
United States,IL,Automotive,Managing Partner,Master's Degree,40-55,15-Oct,,,TRUE
Unknown Country,IL,Scientific / Technical Services,Postdoc,Doctorate,,,,,TRUE
United States,IL,Education,,Doctorate,,,,,TRUE
Unknown Country,IL,Government  / Military / Defense,Senior Data Scientist,Master's Degree,25-40,9-Jun,,,TRUE
United States,IL,Technology,Functional Manager,Master's Degree,55+,25,,,TRUE
Tonga,IA,Other,Psychometrician,Doctorate,,Menos de 5 a�os,,,TRUE
Mexico,Unknown,Banca,Vicepresident,Master's Degree,,10-15 a�os,,,TRUE
Unknown Country,Unknown,Banking / Financial Services,Founder / Co-Founder / Partner,,55+,25,,,TRUE
Unknown Country,METROPOLITANA,,Desarrollador Python-Flask,Technical Degree,,5-Mar,,,TRUE
Chile,Unknown,,,,,,,,TRUE
Unknown Country,CANELONES,Other,Other,High School Degreee,55+,25,,,TRUE
Unknown Country,LIMA,Consulting,Consultant,Master's Degree,40-55,15-Oct,,,TRUE
Costa Rica,Unknown,,,,40-55,,,,TRUE
Unknown Country,Unknown,Aerospace,Other,,25-40,0 - 2,,,TRUE
Peru,LIMA,Consultor�a,Independiente,Bachelor's Degree,,21,,,TRUE
Unknown Country,CDMX,Banking / Financial Services,Other,Master's Degree,25-40,15-Oct,,,TRUE
Unknown Country,MICHOACAN,Servicios,Release and Deployment Manager,High School Degreee,25-40,15-Oct,,,TRUE
Unknown Country,CUNDINAMARCA,,,Bachelor's Degree,55+,More than 25 years,,,TRUE
Chile,Unknown,Agricultura y Miner�a,Especialista funcional / de �rea,Bachelor's Degree,,10-15 a�os,,,TRUE
Unknown Country,LIMA,Servicios financieros,VICEPRESIDENTE,Master's Degree,40-55,25,,,TRUE
Unknown Country,Unknown,Agricultura y Miner�a,,,,0 - 2,,,TRUE
Unknown Country,Unknown,Manufactura,Especialista funcional / de �rea,Bachelor's Degree,,9-Jun,,,TRUE
Unknown Country,LA CORU�A,Otros,,Bachelor's Degree,,15-Oct,,,TRUE
Chile,Unknown,Agricultura y Miner�a,Consultor,Master's Degree,,10-15 a�os,,,TRUE
Unknown Country,LIMA,Agricultura y Miner�a,Other (Please specify),Bachelor's Degree,40-55,15-Oct,,,TRUE
Mexico,Unknown,Educaci�n,Profesor / Acad�mico,Master's Degree,,Menos de 5 a�os,,,TRUE
Unknown Country,ANTOFAGASTA,Agricultura y Miner�a,Director funcional / de �rea,MBA,,16 - 24,,,TRUE
Unknown Country,REGI�N METROPOLITANA,Inmobiliaria y construcci�n,Jefe de �rea,Master's Degree,25-40,5-9 years,,,TRUE
Unknown Country,REGI�N METROPOLITANA,,,Master's Degree,40-55,15-Oct,,,TRUE
Chile,REGI�N METROPOLITANA,,Analisis Econ�mico,Master's Degree,,10-15 years,,,TRUE
Unknown Country,LOS RIOS,Energ�a y servicios p�blicos,Fundador / Co-Fundador / Socio,Master's Degree,,16 - 24,,,TRUE
Chile,Unknown,Educaci�n,Director funcional / de �rea,MBA,,10-15 a�os,,,TRUE
Chile,REGI�N METROPOLITANA,Software e Internet,Founder / Co-Founder / Partner,Technical Degree,,16-25 a�os,,,TRUE
Unknown Country,MEXICO,,Finance Supervisor,Bachelor's Degree,25-40,9-Jun,,,TRUE
Mexico,Unknown,,,,,,,,TRUE
Peru,LIMA,Servicios financieros,Data Scientiest,Master's Degree,40-55,5-9 a�os,,,TRUE
Unknown Country,LIMA,,,Master's Degree,40-55,5-9 years,,,TRUE
United States,AZ,,,Bachelor's Degree,55+,10-15 years,,,TRUE
Unknown Country,CIUDAD DE M�XICO,Banking / Financial Services,Other,Bachelor's Degree,25-40,9-Jun,,,TRUE
Panama,PANAMA,,Analista de Informaci�n Comercial,MBA,,5-9 years,,,TRUE
United States,FL,Other,Other,High School Degreee,,0 - 2,,,TRUE
Chile,Unknown,Gobierno,Jefe,Master's Degree,,10-15 a�os,,,TRUE
Unknown Country,PICHINCHA,,,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Colombia,Unknown,Educaci�n,Director funcional / de �rea,MBA,,16-25 a�os,,,TRUE
Spain,Unknown,Venta al por mayor y distribuci�n,CEO / Director general / Country Manager,Master's Degree,40-55,10-15 a�os,,,TRUE
Unknown Country,Unknown,Mining,Other,Bachelor's Degree,40-55,15-Oct,,,TRUE
Unknown Country,Unknown,Gobierno,Consultor,Master's Degree,,5-Mar,,,TRUE
Peru,LIMA,Servicios corporativos,Functional Specialist,Bachelor's Degree,,10-15 a�os,,,TRUE
United States,IL,Other,Other,Professional Degree,40-55,5-Mar,,,TRUE
Unknown Country,BOGOTA,,,Bachelor's Degree,25-40,5-Mar,,,TRUE
Unknown Country,Unknown,,,Master's Degree,25-40,5-9 years,,,TRUE
Colombia,Unknown,Servicios financieros,Estudiate,Bachelor's Degree,,Menos de 5 a�os,,,TRUE
Unknown Country,SONORA,,MFG & Process Technician,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Unknown Country,D.N.,,Gerente Inteligencia Negocios,Bachelor's Degree,40-55,16-25 years,,,TRUE
Unknown Country,CIUDAD DE M�XICO,,,Master's Degree,25-40,5-Mar,,,TRUE
Unknown Country,ESTADO DE M�XICO,,,Bachelor's Degree,40-55,9-Jun,,,TRUE
Unknown Country,Unknown,Mineria,Especialista funcional / de �rea,Bachelor's Degree,,5-Mar,,,TRUE
Unknown Country,Unknown,"Salud, Farmacia y Biotecnolog�a",Especialista funcional / de �rea,Master's Degree,,15-Oct,,,TRUE
Unknown Country,SONORA,,,Bachelor's Degree,25-40,5-9 years,,,TRUE
Unknown Country,LIMA,Ingenier�a y electr�nica,supervisor,Bachelor's Degree,25-40,0 - 2,,,TRUE
Unknown Country,Unknown,Otros,Freenlance,Bachelor's Degree,0-20,Less than 5 years,,,TRUE
Unknown Country,MADRID,,Economista por la Universidad aut�noma de Madrid,Master's Degree,40-55,15-Oct,,,TRUE
Peru,LIMA/LIMA,Government  / Military / Defense,Especialista funcional / de �rea,Master's Degree,25-40,5-9 a�os,,,TRUE
Mexico,Unknown,Energ�a y servicios p�blicos,Especialista funcional / de �rea,Bachelor's Degree,,10-15 a�os,,,TRUE
Unknown Country,MIRANDA,Government / Military / Defense,Especialista funcional / de �rea,Bachelor's Degree,25-40,Less than 5 years,,,TRUE
Mexico,Unknown,Software e Internet,Consultor,Bachelor's Degree,,16-25 a�os,,,TRUE
Unknown Country,OUTSIDE US AND CANADA,Software e Internet,,Technical Degree,25-40,5-9 years,,,TRUE
Unknown Country,METROPOLITAN SANTIAGO,Servicios financieros,,MBA,40-55,16-25 years,,,TRUE
Unknown Country,PANAMA,Comercio y distribuci�n,Director funcional / de �rea,Bachelor's Degree,55+,25,,,TRUE
Unknown Country,DISTRITO FEDERAL,,Director de Delivery Corporativo,MBA,40-55,More than 25 years,,,TRUE
Chile,Unknown,Agricultura y Miner�a,Especialista funcional / de �rea,Bachelor's Degree,,16-25 a�os,,,TRUE
Portugal,AVEIRO,IT / Data,Chief Technology Officer,Bachelor's Degree,,5-9 a�os,,,TRUE
